Referencia;Descricao do Produto;Fabricante;Grupo;Qtde;Un;Custo Un;Custo;Total;
ONJ0056MX      ;POTE DECORATIVO COM ALCA RETANGULAR 20CM                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;31;UN ;12,71;394,01;2166,9;
ONJ0057        ;POTE DECORATIVO COM ALCA REDONDO 17CM                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;26;UN ;9,75;253,5;1271,4;
ONJ0057MX      ;POTE DECORATIVO COM ALCA REDONDO MX 17CM                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;42;UN ;10,64;446,88;2048,91;
ONJ0059        ;POTE VIDRO BOJUDO DECORATIVO 20CM                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;5;UN ;44,04;220,2;949,5;
ONJ0059MX      ;POTE VIDRO BOJUDO DECORATIVO MX 20CM                        ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;12;UN ;44,92;539,04;2278,8;
ONJ0060        ;POTE VIDRO BOJUDO DECORATIVO  28CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;5;UN ;50,24;251,2;1349,5;
ONJ0060MX      ;POTE VIDRO BOJUDO DECORATIVO MX  28CM                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;16;UN ;53,49;855,84;4318,4;
ONJ0061        ;POTE VIDRO BOJUDO DECORATIVO 35CM                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;86,01;258,03;1169,7;
ONJ0061MX      ;POTE VIDRO BOJUDO DECORATIVO MX 35CM                        ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;13;UN ;92,21;1198,73;5068,7;
ONJ0062MX      ;VASO VIDRO DECOR CORES MX 30CM                              ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;13,6;40,8;179,7;
ONJ0063        ;GARRAFA DE VIDRO DECORATIVA (WISKY)                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;23,05;92,2;359,6;
ONJ0064        ;GARRAFA DE VIDRO DECORATIVA (WISKY)                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;6;UN ;23,05;138,3;539,4;
ONJ0065        ;VASO VIDRO QUADRADO ABALOADO 10X10CM                        ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;28;UN ;7,98;223,44;1117,2;
ONJ0036        ;VASO CERAMICA ESMALTADO PQ 13X18CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;19,63;78,52;359,6;
ONJ0037        ;VASO CERAMICA ESMALTADO PQ 13X18CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;19,63;58,89;269,7;
ONJ0038        ;VASO CERAMICA ESMALTADO PQ 13X18CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;8;UN ;19,63;157,04;719,2;
ONJ0039        ;VASO CERAMICA ESMALTADO PQ 13X18CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;6;UN ;19,63;117,78;539,4;
ONJ0041        ;CACHEPOT GARDEN PQ 12X13X13CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;8;UN ;18,73;149,84;559,2;
ONJ0042        ;CACHEPOT GARDEN PQ 12X13X13CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;8;UN ;18,73;149,84;559,2;
ONJ0043        ;CACHEPOT GARDEN PQ 12X13X13CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;9;UN ;18,73;168,57;629,1;
ONJ0044        ;CACHEPOT GARDEN PQ 12X13X13CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;5;UN ;18,73;93,65;349,5;
ONJ0045        ;VASO CERAMICA ESMALTADO PQ 35X36CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;63,9;63,9;398,9;
ONJ0047        ;VASO CERAMICA ESMALTADO PQ 29X24CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;45,63;45,63;219,9;
ONJ0050        ;VASO CERAMICA ESMALTADO PQ 40X25CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;50,2;150,6;1169,7;
ONJ0052        ;POTE DECORADO 13X13XC12CM                                   ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;22,01;66,03;209,7;
ONJ0053        ;POTE DECORADO 13X13XC12CM                                   ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;22,01;44,02;139,8;
ONJ0054        ;POTE DECORADO 13X13XC12CM                                   ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;16;UN ;22,01;352,16;1118,4;
ONJ0055        ;POTE DECORADO 13X13XC12CM                                   ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;7;UN ;22,01;154,07;489,3;
ONJ0066        ;DECORACAO RESINA                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;7;UN ;32,37;226,59;979,3;
ONJ0067        ;PADEIRO LOUZINHA 17CM                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;32,37;97,11;419,7;
ONJ0068        ;COZINHEIRO SUPORTE TALHERES 16CM                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;6;UN ;35,41;212,46;839,4;
ONJ0069        ;PADEIRO SUPORTE BOLO ICUPCAKE 17CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;33,88;67,76;279,8;
ONJ0070        ;PADEIRO SUPORTE TOALHA                                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;8;UN ;24,33;194,64;959,2;
ONJ0071        ;PADEIRO SUPORTE PAPEL TOALHA 30CM                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;23,9;95,6;479,6;
ONJ0072        ;PADEIRO LOUSINHA                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;5;UN ;33,89;169,45;849,5;
ONJ0073        ;PADEIRO SAL/PIMENTA 17CM                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;27,37;109,48;519,6;
ONJ0007        ;PANTERA DEITADA DEOCR 27,5 CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;9;UN ;32,37;291,33;1529,1;
ONJ0008        ;PANTERA DEITADA DECOR 39CM                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;6;UN ;66,29;397,74;2339,4;
ONJ0009        ;DECORACAO RESINA                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;7;UN ;69,3;485,1;2589,3;
ONJ0010        ;ESCUL. DECRO ABSTRATO CIRCULAR 25CM                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;6;UN ;47,79;286,74;1439,4;
ONJ0011        ;ESCULTURA MUSICO HOMEM 31CM                                 ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;49,31;49,31;239,9;
ONJ0013        ;ESCULT. UNIAO E FORCA 33CM                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;9;UN ;49,31;443,79;2159,1;
ONJ0014        ;ESCULTURA EQUILIBRIO UNIAO 27CM                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;7;UN ;53,87;377,09;1789,4;
ONJ0015        ;ESCULTURA SABEDORIA VENCEDOR 30CM                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;7;UN ;44,75;313,25;2029,3;
ONJ0016        ;MENINA BASA SUPORTE 30CM                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;64,74;194,22;869,7;
ONJ0017        ;MENINA BASE SUPORTE 29CM                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;60,17;60,17;289,9;
ONJ0018        ;MENINA BUQUE 36CM                                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;64,74;194,22;869,7;
ONJ0019        ;ESCULTURA EM RESINA                                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;6;UN ;35,41;212,46;1019,4;
ONJ0020        ;DECORACAO RESINA                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;11;UN ;60,17;661,87;2968,9;
ONJ0021        ;DECORACAO RESINA                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;60,17;120,34;539,8;
ONJ0022        ;ESCULTURA HOMEM COM BOLA                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;60,17;240,68;1079,6;
ONJ0023        ;DECORACAO RESINA                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;55,4;110,8;557,8;
ONJ0024        ;ESCUL. ABSTRATO DOURADO EM RESINA                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;100,15;200,3;1179,8;
ONJ0025        ;ESCULTURA DECORATIVA                                        ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;89,28;178,56;939,8;
ONJ0026        ;ESCULTURA ELEFANTE VAZADO 19CM                              ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;6;UN ;53,87;323,22;1439,4;
ONJ0027        ;CESTA DECORATIVA EM RATTAN P                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;10;UN ;12,35;123,5;699;
ONJ0028        ;CESTA DECORATIVA EM RATTAN P                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;26;UN ;10,47;272,22;1810,41;
ONJ0029        ;ITEM NO: ONJ0029 - CESTAS DECORATIVAS                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;12;UN ;30;360;2278,8;
ONJ0030        ;PORTA TALHERES EM RATTAN                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;13;UN ;27,18;353,34;1818,7;
ONJ0031        ;CESTA DECORATIVA EM RATTAN P                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;23;UN ;15,7;361,1;917,7;
ONJ0032        ;CESTA DECORATIVA EM RATTAN P                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;29;UN ;6,41;185,89;1447,1;
ONJ0033        ;CESTA NATURAL DECORATIVA P                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;36,87;147,48;1195,6;
ONJ0034        ;CESTA DECORATIVA EM RATTAN P                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;30;120;1279,6;
ONJ0035        ;CESTA DECORATIVA EM RATTAN                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;35;UN ;17,92;627,2;3146,5;
ONJ0074        ;CESTA DECORATIVA EM FIBRA NATURAL P                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;8;UN ;27,38;219,04;1839,2;
ONJ0075        ;CESTA DECORATIVA EM FIBRA NATURAL P                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;9;UN ;27,38;246,42;2069,1;
ONJ0076MX      ;CESTA DECORATIVA EM FIBRA NATURAL P                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;32;UN ;10,7;342,4;2876,8;
ONJ0077MX      ;CESTA DECORATIVA EM FIBRA NATURAL P                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;38;UN ;10,99;417,62;3416,2;
ONJ0090        ;HASTER BAMBU DECOR 150CM                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;27;UN ;10,43;281,61;1617,3;
ONJ0091        ;HATE BAMBU DECOR 120CM                                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;22;UN ;9,06;199,32;1097,8;
ONJ0092        ;HASTE BAMBU DECOR 100CM                                     ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;29;UN ;7,68;222,72;1157,1;
ONJ0093        ;SUCULENTA DEDO DE MOCA 12                                   ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;62;UN ;2,76;171,12;737,8;
ONJ0094        ;SUCULENTA DE PEDRA 17CM                                     ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;54;UN ;5,32;287,28;1452,6;
ONJ0095        ;SUCULENTA ROSA DE PEDRA 15CM                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;82;UN ;5,32;436,24;2205,8;
ONJ0096        ;SUCULENTA ROSA DE PEDRA 11CM                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;58;UN ;2,76;160,08;748,2;
ONJ0097        ;SUCULENTA MINI PALMA 20CM                                   ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;45;UN ;5,51;247,95;1075,5;
ONJ0098        ;FOLHA PHILODENDRON 97CM                                     ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;48;UN ;6,69;321,12;1771,2;
ONJ0100        ;ARBUSTO FICCUS VD 130CM                                     ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;7;UN ;50,2;351,4;2029,3;
ONJ0101        ;FOLHA COSTELA DE ADAO 76CM                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;59;UN ;4,13;243,67;1194,1;
ONJ0102        ;FOLHA COSTELA DE ADï¿½O 90CM                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;33;UN ;6,38;210,54;1316,7;
ONJ0103        ;GALHO SAMANBAIA JAMAICANA 120CM                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;33;UN ;4,88;161,04;1976,7;
ONJ0106        ;BQT. PICK VERDINHO OREGANO MIX CORES 40CM                   ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;223;UN ;4,53;1010,19;5106,7;
ONJ0107        ;BQT. PICK VERDINHO MIX CORES 35CM                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;488;UN ;4,13;2015,44;8735,2;
ONJ0108        ;BQT. PICK EUCALIPTUS OUT                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;283;UN ;4,53;1281,99;5631,7;
ONJ0109        ;BQT. PICK OUTONADO MIX CORES 38CM                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;387;UN ;4,53;1753,11;7699,3;
ONJ0110        ;FLOR ARTIFICIAL                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;359;UN ;4,53;1626,27;6426,1;
ONJ0111        ;BQ FOLHAS MINI DE CAMPO MIX                                 ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;337;UN ;3,54;1192,98;6032,3;
ONJ0112        ;BQT.FOLHAS MINI DO CAMPO/EUCALIPTUS MX COR 45CM             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;189;UN ;4,53;856,17;4139,1;
ONJ0113        ;HASTE EUCALIPTUS PO X3                                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;427;UN ;2,76;1178,52;7216,3;
ONJ0114        ;BQT. ASTIBLEOUT.CORES MX 45CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;167;UN ;4,13;689,71;3657,3;
ONJ0115        ;GALHO CRISANTEMO POMPOM COSMO 50CM                          ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;284;UN ;4,53;1286,52;5083,6;
ONJ0116        ;BQT EUCALIPTUS NAT. VD                                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;340;UN ;5,51;1873,4;8126;
ONJ0117        ;BQT SAMAMBAIA RENDA PORTUGUESA                              ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;108;UN ;7,87;849,96;3445,2;
ONJ0118        ;BQT.SAMAMBAIA MIX FOLHAS BOTAO 30CM                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;128;UN ;1,38;176,64;883,2;
ONJ0119        ;BQT. FOLHAS DE OREGANO VDTT 32CM                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;475;UN ;1,57;745,75;3752,5;
ONJ0120        ;HASTE GIPSOFILA                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;343;UN ;2,56;878,08;3395,7;
ONJ0121        ;BQT PENDENTE FOLHAS OREGANO                                 ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;158;UN ;7,48;1181,84;4724,2;
ONJ0122        ;BQT. PENDENTE FOLHAS MINI                                   ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;65;UN ;3,15;204,75;838,5;
ONJ0123        ;BQT PENDENTE FOLHAS EUCALIPTUS MINI                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;440;UN ;3,15;1386;5676;
ONJ0124        ;BQT PENDENTE FOLHAS MINI                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;306;UN ;3,54;1083,24;5171,4;
ONJ0125        ;BQT PENDENTE FOLHINHAS DE ALECRIM                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;161;UN ;6,89;1109,29;6423,9;
ONJ0136        ;FOLHA DE ORQUIDEA PHALAENOPSIS X5 26CM                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;218;UN ;4,13;900,34;3466,2;
ONJ0137MX      ;ORQUIDEA PHALAENOPSIS HASTE 72CM COLOR                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;60;UN ;5,71;342,6;1734;
ONJ0137        ;ORQUIDEA PHALAENOPSIS HASTE 72CM BR                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;85;UN ;5,71;485,35;2246,5;
ONJ0138        ;HASTE FOLHA COSTELA DE ADAO                                 ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;48;UN ;4,92;236,16;955,2;
