COD;NOME_PRODUTO;FORNECEDOR;PRECO;DATA_ENTRADA_ESTOQUE;DATA_VENDA
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-08-16;2025-09-10
1013;Fonte 750W 80 Plus Gold;EVGA;600.0;2025-07-25;2025-09-11
1003;CPU Core i7 12700K;Intel;2200.0;2025-07-31;2025-09-17
1007;Placa de Vídeo RX 6700XT;AMD;2800.0;2025-07-13;2025-09-01
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-07-21;2025-09-01
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-08-31;2025-09-17
1016;Gabinete Mid Tower;Cooler Master;400.0;2025-08-10;2025-09-06
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-07-22;2025-09-01
1014;Placa-mãe B550;ASUS;950.0;2025-08-09;2025-09-15
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-07-07;2025-09-05
1006;Placa de Vídeo RX 6600;AMD;1800.0;2025-07-20;2025-09-09
1010;Memória RAM 16GB DDR4;Corsair;400.0;2025-07-16;2025-09-03
1010;Memória RAM 16GB DDR4;Corsair;400.0;2025-07-26;2025-09-13
1010;Memória RAM 16GB DDR4;Corsair;400.0;2025-07-13;2025-09-08
1019;Monitor 27'' 165Hz;LG;1800.0;2025-08-29;2025-09-17
1007;Placa de Vídeo RX 6700XT;AMD;2800.0;2025-07-14;2025-09-14
1003;CPU Core i7 12700K;Intel;2200.0;2025-08-15;2025-09-13
1008;SSD 1TB NVMe;Samsung;600.0;2025-08-27;2025-09-09
1019;Monitor 27'' 165Hz;LG;1800.0;2025-08-05;2025-09-16
1009;SSD 500GB SATA;Kingston;300.0;2025-08-04;2025-09-04
1005;Placa de Vídeo RTX 3070;NVIDIA;3500.0;2025-08-17;2025-09-09
1007;Placa de Vídeo RX 6700XT;AMD;2800.0;2025-08-12;2025-09-10
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-07-12;2025-09-13
1008;SSD 1TB NVMe;Samsung;600.0;2025-08-26;2025-09-16
1008;SSD 1TB NVMe;Samsung;600.0;2025-08-05;2025-09-16
1018;Monitor 24'' 144Hz;AOC;1100.0;2025-07-25;2025-09-12
1014;Placa-mãe B550;ASUS;950.0;2025-07-06;2025-09-10
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-07-07;2025-09-03
1009;SSD 500GB SATA;Kingston;300.0;2025-08-22;2025-09-18
1009;SSD 500GB SATA;Kingston;300.0;2025-08-24;2025-09-19
1011;Memória RAM 32GB DDR4;Corsair;750.0;2025-07-07;2025-09-15
1009;SSD 500GB SATA;Kingston;300.0;2025-08-25;2025-09-08
1002;CPU Core i5 12400F;Intel;1100.0;2025-07-14;2025-09-01
1010;Memória RAM 16GB DDR4;Corsair;400.0;2025-07-31;2025-09-05
1018;Monitor 24'' 144Hz;AOC;1100.0;2025-07-31;2025-09-18
1001;CPU Ryzen 7 5800X;AMD;1900.0;2025-08-25;2025-09-10
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-08-12;2025-09-14
1007;Placa de Vídeo RX 6700XT;AMD;2800.0;2025-07-17;2025-09-04
1016;Gabinete Mid Tower;Cooler Master;400.0;2025-08-14;2025-09-19
1014;Placa-mãe B550;ASUS;950.0;2025-08-03;2025-09-03
1015;Placa-mãe Z690;Gigabyte;1500.0;2025-07-26;2025-09-02
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-08-16;2025-09-09
1005;Placa de Vídeo RTX 3070;NVIDIA;3500.0;2025-07-17;2025-09-16
1015;Placa-mãe Z690;Gigabyte;1500.0;2025-08-28;2025-09-17
1011;Memória RAM 32GB DDR4;Corsair;750.0;2025-08-03;2025-09-09
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-08-08;2025-09-07
1007;Placa de Vídeo RX 6700XT;AMD;2800.0;2025-07-30;2025-09-09
1014;Placa-mãe B550;ASUS;950.0;2025-07-21;2025-09-05
1006;Placa de Vídeo RX 6600;AMD;1800.0;2025-07-05;2025-09-17
1005;Placa de Vídeo RTX 3070;NVIDIA;3500.0;2025-07-21;2025-09-02
1015;Placa-mãe Z690;Gigabyte;1500.0;2025-07-27;2025-09-13
1002;CPU Core i5 12400F;Intel;1100.0;2025-08-30;2025-09-14
1008;SSD 1TB NVMe;Samsung;600.0;2025-08-03;2025-09-15
1014;Placa-mãe B550;ASUS;950.0;2025-07-10;2025-09-15
1003;CPU Core i7 12700K;Intel;2200.0;2025-08-05;2025-09-05
1019;Monitor 27'' 165Hz;LG;1800.0;2025-07-13;2025-09-07
1010;Memória RAM 16GB DDR4;Corsair;400.0;2025-08-15;2025-09-09
1010;Memória RAM 16GB DDR4;Corsair;400.0;2025-07-31;2025-09-05
1014;Placa-mãe B550;ASUS;950.0;2025-08-06;2025-09-09
1006;Placa de Vídeo RX 6600;AMD;1800.0;2025-08-16;2025-09-02
1009;SSD 500GB SATA;Kingston;300.0;2025-07-06;2025-09-09
1010;Memória RAM 16GB DDR4;Corsair;400.0;2025-08-27;2025-09-02
1008;SSD 1TB NVMe;Samsung;600.0;2025-07-03;2025-09-04
1016;Gabinete Mid Tower;Cooler Master;400.0;2025-08-03;2025-09-04
1014;Placa-mãe B550;ASUS;950.0;2025-07-06;2025-09-17
1010;Memória RAM 16GB DDR4;Corsair;400.0;2025-08-25;2025-09-17
1014;Placa-mãe B550;ASUS;950.0;2025-08-17;2025-09-18
1003;CPU Core i7 12700K;Intel;2200.0;2025-07-23;2025-09-08
1007;Placa de Vídeo RX 6700XT;AMD;2800.0;2025-08-31;2025-09-14
1006;Placa de Vídeo RX 6600;AMD;1800.0;2025-07-13;2025-09-06
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-07-10;2025-09-09
1005;Placa de Vídeo RTX 3070;NVIDIA;3500.0;2025-08-28;2025-09-17
1006;Placa de Vídeo RX 6600;AMD;1800.0;2025-07-25;2025-09-09
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-07-05;2025-09-10
1018;Monitor 24'' 144Hz;AOC;1100.0;2025-08-03;2025-09-14
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-07-31;2025-09-10
1015;Placa-mãe Z690;Gigabyte;1500.0;2025-07-12;2025-09-10
1009;SSD 500GB SATA;Kingston;300.0;2025-08-11;2025-09-03
1008;SSD 1TB NVMe;Samsung;600.0;2025-08-20;2025-09-07
1010;Memória RAM 16GB DDR4;Corsair;400.0;2025-08-30;2025-09-15
1014;Placa-mãe B550;ASUS;950.0;2025-07-15;2025-09-11
1009;SSD 500GB SATA;Kingston;300.0;2025-07-03;2025-09-13
1003;CPU Core i7 12700K;Intel;2200.0;2025-07-25;2025-09-08
1018;Monitor 24'' 144Hz;AOC;1100.0;2025-07-23;2025-09-06
1002;CPU Core i5 12400F;Intel;1100.0;2025-07-22;2025-09-10
1014;Placa-mãe B550;ASUS;950.0;2025-07-11;2025-09-13
1014;Placa-mãe B550;ASUS;950.0;2025-07-08;2025-09-16
1006;Placa de Vídeo RX 6600;AMD;1800.0;2025-07-09;2025-09-18
1008;SSD 1TB NVMe;Samsung;600.0;2025-08-06;2025-09-12
1018;Monitor 24'' 144Hz;AOC;1100.0;2025-08-06;2025-09-13
1013;Fonte 750W 80 Plus Gold;EVGA;600.0;2025-08-21;2025-09-08
1015;Placa-mãe Z690;Gigabyte;1500.0;2025-07-23;2025-09-02
1011;Memória RAM 32GB DDR4;Corsair;750.0;2025-08-27;2025-09-09
1005;Placa de Vídeo RTX 3070;NVIDIA;3500.0;2025-07-22;2025-09-10
1011;Memória RAM 32GB DDR4;Corsair;750.0;2025-07-05;2025-09-13
1013;Fonte 750W 80 Plus Gold;EVGA;600.0;2025-08-30;2025-09-11
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-08-28;2025-09-18
1005;Placa de Vídeo RTX 3070;NVIDIA;3500.0;2025-08-19;2025-09-18
1005;Placa de Vídeo RTX 3070;NVIDIA;3500.0;2025-08-30;2025-09-01
1008;SSD 1TB NVMe;Samsung;600.0;2025-07-17;2025-09-04
1009;SSD 500GB SATA;Kingston;300.0;2025-07-14;2025-09-16
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-08-06;2025-09-05
1013;Fonte 750W 80 Plus Gold;EVGA;600.0;2025-08-26;2025-09-15
1007;Placa de Vídeo RX 6700XT;AMD;2800.0;2025-08-14;2025-09-19
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-07-05;2025-09-08
1011;Memória RAM 32GB DDR4;Corsair;750.0;2025-07-18;2025-09-06
1016;Gabinete Mid Tower;Cooler Master;400.0;2025-08-26;2025-09-11
1015;Placa-mãe Z690;Gigabyte;1500.0;2025-07-09;2025-09-09
1006;Placa de Vídeo RX 6600;AMD;1800.0;2025-07-26;2025-09-04
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-08-02;2025-09-12
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-08-15;2025-09-18
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-08-20;2025-09-11
1014;Placa-mãe B550;ASUS;950.0;2025-08-23;2025-09-18
1017;Gabinete ATX;NZXT;600.0;2025-08-30;2025-09-18
1018;Monitor 24'' 144Hz;AOC;1100.0;2025-08-28;2025-09-08
1007;Placa de Vídeo RX 6700XT;AMD;2800.0;2025-07-07;2025-09-19
1017;Gabinete ATX;NZXT;600.0;2025-07-14;2025-09-15
1007;Placa de Vídeo RX 6700XT;AMD;2800.0;2025-07-06;2025-09-01
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-08-16;2025-09-05
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-08-01;2025-09-14
1006;Placa de Vídeo RX 6600;AMD;1800.0;2025-08-17;2025-09-13
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-08-16;2025-09-10
1011;Memória RAM 32GB DDR4;Corsair;750.0;2025-07-27;2025-09-10
1011;Memória RAM 32GB DDR4;Corsair;750.0;2025-07-04;2025-09-12
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-07-23;2025-09-02
1018;Monitor 24'' 144Hz;AOC;1100.0;2025-08-01;2025-09-18
1009;SSD 500GB SATA;Kingston;300.0;2025-08-01;2025-09-12
1005;Placa de Vídeo RTX 3070;NVIDIA;3500.0;2025-08-27;2025-09-11
1017;Gabinete ATX;NZXT;600.0;2025-07-11;2025-09-13
1013;Fonte 750W 80 Plus Gold;EVGA;600.0;2025-07-15;2025-09-12
1002;CPU Core i5 12400F;Intel;1100.0;2025-08-26;2025-09-09
1006;Placa de Vídeo RX 6600;AMD;1800.0;2025-08-20;2025-09-01
1013;Fonte 750W 80 Plus Gold;EVGA;600.0;2025-07-27;2025-09-02
1003;CPU Core i7 12700K;Intel;2200.0;2025-08-24;2025-09-07
1007;Placa de Vídeo RX 6700XT;AMD;2800.0;2025-07-18;2025-09-10
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-08-13;2025-09-02
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-07-14;2025-09-17
1009;SSD 500GB SATA;Kingston;300.0;2025-08-19;2025-09-07
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-08-17;2025-09-19
1006;Placa de Vídeo RX 6600;AMD;1800.0;2025-08-18;2025-09-05
1007;Placa de Vídeo RX 6700XT;AMD;2800.0;2025-07-30;2025-09-03
1011;Memória RAM 32GB DDR4;Corsair;750.0;2025-08-12;2025-09-05
1006;Placa de Vídeo RX 6600;AMD;1800.0;2025-08-08;2025-09-14
1016;Gabinete Mid Tower;Cooler Master;400.0;2025-08-25;2025-09-02
1003;CPU Core i7 12700K;Intel;2200.0;2025-07-11;2025-09-15
1003;CPU Core i7 12700K;Intel;2200.0;2025-07-29;2025-09-06
1014;Placa-mãe B550;ASUS;950.0;2025-08-20;2025-09-14
1009;SSD 500GB SATA;Kingston;300.0;2025-07-09;2025-09-01
1016;Gabinete Mid Tower;Cooler Master;400.0;2025-08-13;2025-09-16
1003;CPU Core i7 12700K;Intel;2200.0;2025-07-22;2025-09-07
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-08-01;2025-09-07
1015;Placa-mãe Z690;Gigabyte;1500.0;2025-08-05;2025-09-08
1011;Memória RAM 32GB DDR4;Corsair;750.0;2025-07-24;2025-09-14
1001;CPU Ryzen 7 5800X;AMD;1900.0;2025-07-13;2025-09-10
1010;Memória RAM 16GB DDR4;Corsair;400.0;2025-07-23;2025-09-02
1016;Gabinete Mid Tower;Cooler Master;400.0;2025-07-07;2025-09-13
1011;Memória RAM 32GB DDR4;Corsair;750.0;2025-07-24;2025-09-08
1002;CPU Core i5 12400F;Intel;1100.0;2025-07-31;2025-09-09
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-08-22;2025-09-16
1014;Placa-mãe B550;ASUS;950.0;2025-07-09;2025-09-03
1006;Placa de Vídeo RX 6600;AMD;1800.0;2025-08-19;2025-09-16
1015;Placa-mãe Z690;Gigabyte;1500.0;2025-08-09;2025-09-14
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-08-08;2025-09-09
1009;SSD 500GB SATA;Kingston;300.0;2025-08-18;2025-09-09
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-08-26;2025-09-07
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-07-13;2025-09-07
1013;Fonte 750W 80 Plus Gold;EVGA;600.0;2025-07-09;2025-09-10
1003;CPU Core i7 12700K;Intel;2200.0;2025-07-20;2025-09-13
1019;Monitor 27'' 165Hz;LG;1800.0;2025-08-13;2025-09-12
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-08-12;2025-09-03
1005;Placa de Vídeo RTX 3070;NVIDIA;3500.0;2025-07-16;2025-09-16
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-07-16;2025-09-12
1010;Memória RAM 16GB DDR4;Corsair;400.0;2025-08-25;2025-09-09
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-07-18;2025-09-14
1002;CPU Core i5 12400F;Intel;1100.0;2025-08-18;2025-09-19
1003;CPU Core i7 12700K;Intel;2200.0;2025-08-04;2025-09-13
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-07-13;2025-09-15
1002;CPU Core i5 12400F;Intel;1100.0;2025-08-26;2025-09-16
1001;CPU Ryzen 7 5800X;AMD;1900.0;2025-08-10;2025-09-14
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-07-28;2025-09-19
1003;CPU Core i7 12700K;Intel;2200.0;2025-08-31;2025-09-04
1018;Monitor 24'' 144Hz;AOC;1100.0;2025-07-27;2025-09-03
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-08-12;2025-09-09
1015;Placa-mãe Z690;Gigabyte;1500.0;2025-08-24;2025-09-12
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-08-14;2025-09-07
1002;CPU Core i5 12400F;Intel;1100.0;2025-07-07;2025-09-07
1003;CPU Core i7 12700K;Intel;2200.0;2025-07-28;2025-09-12
1015;Placa-mãe Z690;Gigabyte;1500.0;2025-08-06;2025-09-03
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-08-15;2025-09-12
1016;Gabinete Mid Tower;Cooler Master;400.0;2025-08-24;2025-09-16
1015;Placa-mãe Z690;Gigabyte;1500.0;2025-07-15;2025-09-09
1008;SSD 1TB NVMe;Samsung;600.0;2025-07-20;2025-09-11
1016;Gabinete Mid Tower;Cooler Master;400.0;2025-07-24;2025-09-14
1003;CPU Core i7 12700K;Intel;2200.0;2025-07-28;2025-09-05
1016;Gabinete Mid Tower;Cooler Master;400.0;2025-07-05;2025-09-12
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-07-31;2025-09-05
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-07-17;2025-09-05
1010;Memória RAM 16GB DDR4;Corsair;400.0;2025-07-07;2025-09-13
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-08-20;2025-09-12
1018;Monitor 24'' 144Hz;AOC;1100.0;2025-07-15;2025-09-04
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-08-10;2025-09-03
1002;CPU Core i5 12400F;Intel;1100.0;2025-08-30;2025-09-17
1003;CPU Core i7 12700K;Intel;2200.0;2025-07-20;2025-09-06
1015;Placa-mãe Z690;Gigabyte;1500.0;2025-08-15;2025-09-09
1003;CPU Core i7 12700K;Intel;2200.0;2025-08-16;2025-09-18
1010;Memória RAM 16GB DDR4;Corsair;400.0;2025-08-30;2025-09-07
1016;Gabinete Mid Tower;Cooler Master;400.0;2025-08-22;2025-09-05
1013;Fonte 750W 80 Plus Gold;EVGA;600.0;2025-08-12;2025-09-09
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-08-02;2025-09-10
1019;Monitor 27'' 165Hz;LG;1800.0;2025-08-14;2025-09-15
1002;CPU Core i5 12400F;Intel;1100.0;2025-07-03;2025-09-09
1011;Memória RAM 32GB DDR4;Corsair;750.0;2025-08-03;2025-09-03
1007;Placa de Vídeo RX 6700XT;AMD;2800.0;2025-08-20;2025-09-13
1018;Monitor 24'' 144Hz;AOC;1100.0;2025-08-31;2025-09-14
1019;Monitor 27'' 165Hz;LG;1800.0;2025-07-17;2025-09-06
1005;Placa de Vídeo RTX 3070;NVIDIA;3500.0;2025-07-08;2025-09-13
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-08-20;2025-09-11
1013;Fonte 750W 80 Plus Gold;EVGA;600.0;2025-08-15;2025-09-06
1002;CPU Core i5 12400F;Intel;1100.0;2025-08-05;2025-09-09
1005;Placa de Vídeo RTX 3070;NVIDIA;3500.0;2025-07-05;2025-09-02
1018;Monitor 24'' 144Hz;AOC;1100.0;2025-08-02;2025-09-15
1018;Monitor 24'' 144Hz;AOC;1100.0;2025-07-10;2025-09-01
1002;CPU Core i5 12400F;Intel;1100.0;2025-07-29;2025-09-02
1002;CPU Core i5 12400F;Intel;1100.0;2025-07-03;2025-09-13
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-07-09;2025-09-18
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-08-12;2025-09-16
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-08-10;2025-09-19
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-08-14;2025-09-03
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-07-25;2025-09-14
1013;Fonte 750W 80 Plus Gold;EVGA;600.0;2025-07-24;2025-09-13
1013;Fonte 750W 80 Plus Gold;EVGA;600.0;2025-07-07;2025-09-14
1004;Placa de Vídeo RTX 3060;NVIDIA;2500.0;2025-08-24;2025-09-16
1016;Gabinete Mid Tower;Cooler Master;400.0;2025-07-12;2025-09-07
1017;Gabinete ATX;NZXT;600.0;2025-08-04;2025-09-19
1007;Placa de Vídeo RX 6700XT;AMD;2800.0;2025-07-21;2025-09-05
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-08-03;2025-09-18
1007;Placa de Vídeo RX 6700XT;AMD;2800.0;2025-08-09;2025-09-14
1012;Fonte 650W 80 Plus Bronze;Corsair;350.0;2025-07-23;2025-09-12
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-07-22;2025-09-07
1002;CPU Core i5 12400F;Intel;1100.0;2025-07-13;2025-09-13
1000;CPU Ryzen 5 5600X;AMD;1200.0;2025-08-25;2025-09-01
1017;Gabinete ATX;NZXT;600.0;2025-07-25;2025-09-07
1018;Monitor 24'' 144Hz;AOC;1100.0;2025-08-16;2025-09-17
1001;CPU Ryzen 7 5800X;AMD;1900.0;2025-07-09;2025-09-03
1005;Placa de Vídeo RTX 3070;NVIDIA;3500.0;2025-08-04;2025-09-18
1005;Placa de Vídeo RTX 3070;NVIDIA;3500.0;2025-08-22;2025-09-05
1009;SSD 500GB SATA;Kingston;300.0;2025-07-28;2025-09-18
1010;Memória RAM 16GB DDR4;Corsair;400.0;2025-07-04;2025-09-08
